Country_Name,RE_Inexpensive_Meal,RE_Meal_2Ppl,RE_Combo_Meal,RE_Domestic_Beer,RE_Imported_Beer,RE_Cappuccino,RE_Coke/Pepsi,RE_Water,MK_Milk,MK_White_Bread,MK_Rice,MK_Eggs,MK_Cheese,MK_Chicken_Breasts,MK_Red_Meat,MK_Apples,MK_Banana,MK_Oranges,MK_Tomato,MK_Potato,MK_Onion,MK_Lettuce,MK_Water,MK_Wine,MK_Domestic_Beer,MK_Imported_Beer,MK_Cigarettes_Pack,TR_Ticket,TR_Monthly_Pass,TR_Taxi_Start,TR_Taxi_1km,TR_Taxi_1h,TR_Gasoline,TR_VW_Golf,TR_TY_Corolla,UT_Basic_85m2,UT_Prepaid_Mobile,UT_Internet,SL_Fitness_Club,SL_Tennis,SL_Cinema,CH_Preschool,CH_International_School,CS_Jeans,CS_Summer_Dress,CS_Running_Shoes,CS_Leather_Shoes,RM_Apartment_1Centre,RM_Apartment_1Outside,RM_Apartment_3Centre,RM_Apartment_3Outside,BA_PriceM2_Centre,BA_PriceM2_Outside,SF_Average_Salary,SF_Mortgage_%Yearly
Slovenia,8.16,34.97,5.83,2.80,3.50,1.59,2.26,1.52,0.99,1.20,1.78,2.31,10.32,7.58,10.12,1.43,1.43,1.65,2.00,0.77,1.08,1.22,0.68,5.83,1.22,1.74,4.66,1.40,43.13,1.17,1.04,16.20,1.49,"20,981.71","20,832.33",209.91,0.06,33.55,45.81,13.32,6.99,491.08,"11,559.37",86.60,36.53,89.10,108.99,459.33,358.44,782.50,614.34,"2,461.31","1,869.84","1,198.05",3.48
Solomon Islands,10.06,63.00,10.78,2.54,,3.68,,,2.54,1.77,,4.75,,20.28,,,,,,,1.90,1.90,1.27,16.48,1.90,,,0.38,,7.45,1.27,,1.31,,"12,676.50",,,887.36,126.77,,,,,,,,,755.45,540.46,"2,218.39","2,535.30",,,,
Somalia,2.50,15.00,5.00,3.00,5.00,0.93,0.68,0.52,1.27,0.76,0.93,2.13,5.42,4.54,3.83,4.20,1.62,2.75,1.54,0.98,1.11,0.72,0.62,70.00,1.00,1.50,1.00,0.50,20.00,3.00,3.00,10.00,0.82,"15,000.00","13,000.00",63.75,0.07,27.50,16.89,5.00,1.00,51.67,"1,150.00",19.33,19.17,25.00,26.86,80.00,53.12,234.00,163.33,"19,400.00","11,500.00",303.33,6.00
South Africa,9.60,35.99,4.40,2.00,2.56,1.93,0.98,0.77,1.08,1.00,1.57,2.04,7.44,5.26,6.99,1.65,1.37,1.63,1.44,1.31,1.19,1.09,1.18,4.80,1.42,2.17,3.20,1.20,39.99,1.20,0.80,4.00,1.10,"22,394.55","21,717.03",85.21,0.14,71.21,36.57,9.01,6.00,200.38,"4,298.74",57.54,36.38,90.54,88.41,479.26,398.58,965.15,798.26,"1,060.81",861.29,"1,295.54",10.59
South Korea,6.50,37.11,5.57,2.78,4.64,4.18,1.49,0.74,2.26,2.61,3.79,3.00,15.33,8.91,22.29,6.41,3.98,5.62,5.54,3.41,2.81,2.22,1.17,15.31,2.03,3.39,4.18,1.16,51.03,2.78,0.93,9.80,1.42,"29,691.49","25,730.04",155.05,0.13,25.17,60.41,14.85,9.28,467.16,"20,052.67",67.40,41.56,91.17,118.70,607.37,392.94,"1,605.97","1,001.81","9,220.15","5,494.48","2,408.43",3.60
Spain,11.66,40.80,8.16,2.33,2.91,1.79,1.96,1.31,0.90,1.09,1.11,1.91,10.28,6.66,11.79,1.84,1.69,1.43,1.67,1.14,1.18,1.05,0.66,5.83,0.89,1.42,5.83,1.63,52.45,3.67,1.22,23.31,1.41,"20,981.71","21,655.50",131.80,0.19,45.64,42.83,14.19,9.33,390.34,"7,890.09",80.95,31.19,81.59,96.19,706.54,527.26,"1,140.72",816.64,"3,198.17","1,949.23","1,523.04",2.34
Sri Lanka,1.58,9.49,4.75,2.21,3.04,2.20,0.53,0.31,1.15,0.43,0.59,1.26,8.91,3.94,4.84,2.33,0.97,1.86,1.05,0.97,0.91,0.89,0.61,11.39,1.80,2.76,6.33,0.13,6.33,0.32,0.28,0.76,0.77,"34,801.32","40,061.06",52.02,0.02,14.66,17.24,7.53,3.48,39.55,"2,686.32",31.00,21.18,48.68,32.82,247.32,129.71,621.33,297.86,"1,704.51","1,113.36",271.42,14.07
Sudan,2.78,8.33,2.78,0.44,1.50,1.17,0.30,0.17,1.04,0.57,1.29,1.57,4.65,4.18,5.45,3.26,0.56,1.65,1.44,1.26,0.43,0.53,0.35,2.78,0.30,0.65,1.81,0.11,24.99,1.67,0.35,4.44,0.31,"22,216.05","26,936.96",19.90,0.01,16.02,20.92,3.89,2.50,44.89,"1,846.71",15.24,18.65,26.66,36.80,252.46,152.43,472.09,277.70,854.21,566.51,206.29,13.75
Suriname,3.35,30.13,4.69,1.34,1.34,1.31,0.64,0.36,1.08,1.10,1.07,1.81,1.67,4.65,6.56,2.75,1.65,2.68,3.24,0.67,0.52,1.34,0.67,8.03,1.62,1.39,4.02,0.25,1.21,1.34,1.34,4.69,0.89,"4,686.66","4,017.14",61.60,0.12,32.58,15.40,7.36,3.68,89.27,"7,264.33",46.03,18.97,75.32,93.73,162.92,129.89,343.69,355.74,172.74,611.50,220.94,12.70
Swaziland,4.40,23.99,4.36,1.20,1.60,1.40,0.72,0.49,1.12,0.59,1.52,1.53,9.60,2.40,6.20,1.20,1.33,1.28,1.40,1.40,1.57,0.56,0.81,5.60,1.08,1.39,2.84,0.48,52.22,4.00,3.00,14.89,0.96,"19,060.53","22,083.49",59.68,0.14,426.31,40.06,10.70,3.28,191.95,"6,398.44",56.12,29.89,66.78,97.31,266.60,206.32,588.50,500.91,399.90,239.94,719.82,11.62
